,Line,Date,Event,Judge,Location,Result,casenumber
9187,0,2020-11-30 13:00:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,20005400MMMA
9188,0,2021-05-11 10:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Pre Trial,20005406CTMA
9189,1,2021-03-05 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005406CTMA
9190,2,2021-01-08 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005406CTMA
9191,0,2021-05-13 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,DISPOSED D,20005410MMMA
9192,1,2021-03-18 15:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005410MMMA
9193,2,2021-02-24 08:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",OTHER,20005410MMMA
9194,3,2021-02-20 08:30:00,FIRST APPEARANCE,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Not Assigned,20005410MMMA
9195,4,2021-01-22 08:30:00,ARRAIGNMENT,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",DISPOSED D,20005410MMMA
9196,5,2021-01-21 15:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005410MMMA
9197,6,2021-01-19 14:00:00,FIRST APPEARANCE,"DYER, WILLIAM",MINI COURTROOM 2ND FLOOR,Not Assigned,20005410MMMA
9198,7,2020-11-18 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005410MMMA
9199,8,2020-11-15 09:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Not Assigned,20005410MMMA
9200,0,2021-01-21 15:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,PLED PRIOR TO COURT,20005430MMMA
9201,1,2020-11-18 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005430MMMA
9202,2,2020-11-15 09:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Not Assigned,20005430MMMA
9203,0,2021-08-31 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,DISPOSED D,20005438MMMA
9204,1,2021-07-06 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005438MMMA
9205,2,2021-05-11 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005438MMMA
9206,3,2021-03-16 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005438MMMA
9207,4,2020-12-09 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005438MMMA
9208,0,2020-12-09 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,20005474MMMA
9209,0,2022-01-04 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Failed To Appear,20005513CTMA
9210,1,2021-11-09 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005513CTMA
9211,2,2021-10-26 14:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005513CTMA
9212,3,2021-09-17 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005513CTMA
9213,0,2020-12-04 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,20005518MMMA
9214,0,2021-05-11 14:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Pre Trial,20005519MMMA
9215,1,2021-03-16 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005519MMMA
9216,2,2020-12-11 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005519MMMA
9217,0,2021-06-21 08:30:00,JURY TRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,DISPOSED D,20005543MMMA
9218,1,2021-04-15 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005543MMMA
9219,2,2021-03-19 10:00:00,ARRAIGNMENT,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Not Assigned,20005543MMMA
9220,3,2021-03-18 09:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005543MMMA
9221,4,2021-02-18 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005543MMMA
9222,5,2021-01-21 09:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005543MMMA
9223,6,2020-12-22 09:30:00,PRETRIAL,"GRAMMER, JOE","WEST COURTROOM, BAY COUNTY COURTHOUSE",Continued,20005543MMMA
9224,7,2020-11-25 08:30:00,ARRAIGNMENT,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005543MMMA
9225,8,2020-11-24 10:30:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",MINI COURTROOM 2ND FLOOR,Not Assigned,20005543MMMA
9226,0,2021-08-31 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,DISPOSED D,20005597MMMA
9227,1,2021-07-06 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005597MMMA
9228,2,2021-05-11 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005597MMMA
9229,3,2021-03-03 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005597MMMA
9230,4,2021-01-06 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005597MMMA
9231,0,2021-06-21 08:30:00,JURY TRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Pre Trial,20005614MMMA
9232,1,2021-05-13 08:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005614MMMA
9233,2,2021-04-15 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005614MMMA
9234,3,2021-03-18 08:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005614MMMA
9235,4,2021-02-18 13:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20005614MMMA
9236,5,2020-12-21 13:00:00,ARRAIGNMENT,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005614MMMA
9237,0,2020-12-31 13:30:00,PRETRIAL,"CAMPBELL, TIMOTHY CRAIG",COURTHOUSE 2ND FLOOR - WEST,PLED PRIOR TO COURT,20005626MMMA
9238,1,2020-12-04 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005626MMMA
9239,2,2020-12-02 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",MINI COURTROOM 2ND FLOOR,Not Assigned,20005626MMMA
9240,0,2021-03-16 13:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Failed To Appear,20005683MMMO
9241,1,2020-12-07 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005683MMMO
9242,2,2020-12-04 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",MINI COURTROOM 2ND FLOOR,Not Assigned,20005683MMMO
9243,0,2021-05-25 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,DISPOSED D,20005690MMMA
9244,1,2021-03-30 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005690MMMA
9245,2,2021-03-16 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005690MMMA
9246,3,2020-12-09 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005690MMMA
9247,4,2020-12-07 14:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C",MINI COURTROOM 2ND FLOOR,Not Assigned,20005690MMMA
9248,0,2021-03-16 13:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Pre Trial,20005696MMMA
9249,1,2020-12-09 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005696MMMA
9250,2,2020-12-05 08:00:00,FIRST APPEARANCE,"CLARK, BRANTLEY SCOTT JR","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Not Assigned,20005696MMMA
9251,0,2021-03-16 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Failed To Appear,20005718MMMA
9252,1,2020-12-11 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005718MMMA
9253,0,2022-12-06 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Not Assigned,20005742MMMA
9254,1,2022-10-11 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9255,2,2022-08-16 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9256,3,2022-06-21 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9257,4,2022-04-26 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9258,5,2022-02-15 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9259,6,2021-12-14 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9260,7,2021-10-26 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9261,8,2021-08-31 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9262,9,2021-07-06 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9263,10,2021-05-11 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9264,11,2021-03-16 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005742MMMA
9265,12,2020-12-11 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005742MMMA
9266,13,2020-12-09 10:30:00,FIRST APPEARANCE,"VANN, SHANE",MINI COURTROOM 2ND FLOOR,Not Assigned,20005742MMMA
9267,0,2021-03-24 08:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Failed To Appear,20005763MMMA
9268,1,2021-02-22 14:00:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005763MMMA
9269,2,2020-12-30 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005763MMMA
9270,0,2021-05-20 08:30:00,TRIAL MANAGEMENT,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,DISPOSED D,20005798MMMA
9271,1,2021-04-22 13:00:00,PRETRIAL,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,Continued,20005798MMMA
9272,2,2021-02-24 09:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005798MMMA
9273,3,2020-12-30 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005798MMMA
9274,0,2021-05-20 08:30:00,TRIAL MANAGEMENT,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,DISPOSED D,20005799MMMA
9275,1,2021-04-22 13:00:00,PRETRIAL,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,Continued,20005799MMMA
9276,2,2021-02-24 09:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005799MMMA
9277,3,2020-12-30 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005799MMMA
9278,0,2021-07-08 10:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Pre Trial,20005802MMMA
9279,1,2021-05-13 10:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005802MMMA
9280,2,2021-03-18 13:00:00,FIRST APPEARANCE,"DYER, WILLIAM",MINI COURTROOM 2ND FLOOR,Not Assigned,20005802MMMA
9281,3,2021-03-18 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005802MMMA
9282,4,2020-12-16 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005802MMMA
9283,5,2020-12-14 14:00:00,FIRST APPEARANCE,"COSTELLO, DEDEE S",MINI COURTROOM 2ND FLOOR,Not Assigned,20005802MMMA
9284,0,2021-03-01 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Failed To Appear,20005882MMMA
9285,1,2021-01-04 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005882MMMA
9286,0,2021-03-03 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Failed To Appear,20005890MMMO
9287,1,2021-01-06 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005890MMMO
9288,0,2021-05-13 14:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Pre Trial,20005897MMMA
9289,1,2021-03-08 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005897MMMA
9290,2,2021-01-11 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005897MMMA
9291,0,2021-03-01 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,20005951MMMA
9292,1,2021-01-04 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005951MMMA
9293,0,2022-12-19 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Not Assigned,20005963MMMA
9294,1,2022-09-27 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9295,2,2022-08-02 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9296,3,2022-06-07 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9297,4,2022-04-26 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9298,5,2022-03-01 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9299,6,2022-02-15 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9300,7,2021-12-14 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9301,8,2021-10-26 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9302,9,2021-08-31 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9303,10,2021-07-06 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9304,11,2021-05-11 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,20005963MMMA
9305,12,2021-04-15 12:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Not Assigned,20005963MMMA
9306,13,2021-04-08 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Failed To Appear,20005963MMMA
9307,14,2021-02-08 13:00:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20005963MMMA
9308,15,2021-02-05 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",MINI COURTROOM 2ND FLOOR,Not Assigned,20005963MMMA
9309,0,2021-05-20 09:30:00,TRIAL MANAGEMENT,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,DISPOSED D,20006004MMMA
9310,1,2021-04-22 13:00:00,PRETRIAL,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,Continued,20006004MMMA
9311,2,2021-02-24 09:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20006004MMMA
9312,3,2020-12-30 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20006004MMMA
9313,4,2020-12-28 12:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Not Assigned,20006004MMMA
9314,0,2021-03-05 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,20006008MMMA
9315,1,2021-01-08 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20006008MMMA
9316,0,2021-03-18 10:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Pre Trial,20006057MMMA
9317,1,2021-02-18 10:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,20006057MMMA
9318,2,2021-01-20 08:30:00,ARRAIGNMENT,"GRAMMER, JOE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20006057MMMA
9319,0,2021-04-22 13:00:00,PRETRIAL,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,PLED PRIOR TO COURT,20006087MMMA
9320,1,2021-02-25 13:00:00,PRETRIAL,"DYER, WILLIAM",COURTHOUSE 2ND FLOOR - WEST,Continued,20006087MMMA
9321,2,2021-01-27 08:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,20006087MMMA
9322,0,2022-12-15 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Not Assigned,21000006CTMA
9323,1,2022-10-20 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9324,2,2022-08-25 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9325,3,2022-06-30 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9326,4,2022-05-05 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9327,5,2022-03-10 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9328,6,2022-01-13 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9329,7,2021-11-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9330,8,2021-09-23 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9331,9,2021-07-08 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9332,10,2021-06-03 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9333,11,2021-05-11 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000006CTMA
9334,12,2021-03-03 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,21000006CTMA
9335,13,2021-01-06 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,21000006CTMA
9336,14,2021-01-04 14:00:00,FIRST APPEARANCE,"VANN, SHANE",MINI COURTROOM 2ND FLOOR,Not Assigned,21000006CTMA
9337,0,2021-07-13 15:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000013DV
9338,1,2021-07-13 15:00:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000013DV
9339,2,2021-04-29 14:30:00,MODIFICATIONS,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000013DV
9340,3,2021-01-21 14:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000013DV
9341,0,2022-08-24 13:30:00,CHILD SUPPORT,"SPITZER, GRANT ASHLEY",TO BE ANNOUNCED,Not Assigned,21000023DR
9342,0,2021-03-03 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",PLED PRIOR TO COURT,21000028MMMA
9343,1,2021-01-06 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,21000028MMMA
9344,2,2021-01-05 10:30:00,FIRST APPEARANCE,"VANN, SHANE",MINI COURTROOM 2ND FLOOR,Not Assigned,21000028MMMA
9345,0,2021-03-26 09:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Pre Trial,21000030MMMA
9346,1,2021-01-29 08:30:00,ARRAIGNMENT,"DYER, WILLIAM","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,21000030MMMA
9347,0,2021-11-08 11:00:00,HEARING - CIVIL,"HENRY, WILLIAM",JUDGES CHAMBERS,CANCELLATION OF HEARING,21000043CA
9348,1,2021-06-01 11:00:00,HEARING - CIVIL,"HENRY, WILLIAM",JUDGES CHAMBERS,Not Assigned,21000043CA
9349,0,2021-05-13 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,DISPOSED D,21000070CTMA
9350,1,2021-03-18 09:00:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000070CTMA
9351,2,2021-02-10 08:30:00,ARRAIGNMENT,"VANN, SHANE","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",Continued,21000070CTMA
9352,0,2021-04-15 16:00:00,CONTINUANCE,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000072DV
9353,1,2021-03-25 16:00:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000072DV
9354,0,2021-04-22 15:30:00,CONTINUANCE,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000097DV
9355,1,2021-04-08 16:00:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",TO BE ANNOUNCED,Not Assigned,21000097DV
9356,0,2023-01-04 13:30:00,VIOLATION PROBATION,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Not Assigned,21000110MMMA
9357,1,2022-10-12 13:30:00,VIOLATION PROBATION,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000110MMMA
9358,2,2022-09-14 13:30:00,VIOLATION PROBATION,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,21000110MMMA
